調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
小川町,小川町 （政策推進課） 政策推進課,森林管理道高谷角山線 林道橋定期点検業務委託,指名競争入札,2024-09-06,2024,1300000,1300000,,1250000,ピーシー技研株式会社 本店,5,農林土木,false,0.962,
小川町,小川町 （政策推進課） 政策推進課,割谷橋補修設計業務委託,指名競争入札,2024-08-08,2024,5676000,5676000,,4600000,株式会社ジェーエステック 本店,7,橋梁,false,0.81,
小川町,小川町 （政策推進課） 政策推進課,大寺橋補修設計業務委託,指名競争入札,2024-07-16,2024,6632000,6632000,,6100000,株式会社日本設計コンサルタント 本店,7,橋梁,false,0.92,
小川町,小川町 （政策推進課） 政策推進課,小川町橋梁定期点検業務委託,指名競争入札,2024-07-16,2024,13938000,13938000,,7650000,株式会社中央技術コンサルタンツ 北関東支店,7,橋梁,false,0.549,
川島町,川島町 （政策推進課） 政策推進課,令和7年度浅間排水路整備修正設計業務委託,指名競争入札,2026-02-05,2025,4260000,4260000,3387000,3900000,株式会社ミカミ・アイエヌジー 川島支店,5,下水道,false,0.915,0.795
川島町,川島町 （政策推進課） 政策推進課,令和7年度町道5581号線外道路詳細設計業務委託,指名競争入札,2025-10-31,2025,5084000,5084000,4052000,4800000,吉田測量設計株式会社 本店,5,道路,false,0.944,0.797
川島町,川島町 （政策推進課） 政策推進課,令和7年度町道5113号線脇水路設計・測量業務委託,指名競争入札,2025-10-31,2025,4217000,4217000,3256000,3950000,武州測量株式会社 川島営業所,5,測量,false,0.937,0.772
川島町,川島町 （政策推進課） 政策推進課,（道メ）令和7年度 川島町橋梁定期点検業務委託,一般競争入札（ダイレクト入札）,2025-10-31,2025,11849000,11849000,,5980000,株式会社サンテックインターナショナル 埼玉営業所,16,橋梁,false,0.505,
川島町,川島町 （政策推進課） 政策推進課,川島町舗装個別施設計画策定業務委託,指名競争入札,2025-10-10,2025,2721000,2721000,2315000,2350000,ニチレキ株式会社 埼玉営業所,5,道路,false,0.864,0.851
川島町,川島町 （政策推進課） 政策推進課,令和7年度下水道管路改築・更新計画に伴う施設点検調査業務委託（ストックマネジメント）,一般競争入札（ダイレクト入札）,2025-10-10,2025,10450000,10450000,8360000,9490000,株式会社東洋コンサルタント 埼玉支店,5,下水道,false,0.908,0.8
川島町,川島町 （政策推進課） 政策推進課,令和7年度雨天時浸入水対策調査業務委託,指名競争入札,2025-07-30,2025,4198000,4198000,3657000,4100000,株式会社東洋コンサルタント 埼玉支店,5,測定・検査・調査,false,0.977,0.871
川島町,川島町 （政策推進課） 政策推進課,（道メ）令和7年度川島町橋梁定期点検業務委託（令和6年度繰越分）,指名競争入札,2025-07-30,2025,5753000,5753000,,2220000,伸栄開発株式会社 関東支店,5,橋梁,false,0.386,
川島町,川島町 （政策推進課） 政策推進課,旧中山公民館解体工事事前アスベスト調査業務,指名競争入札,2025-06-04,2025,666000,666000,,587000,株式会社環境総合研究所 本店,5,測定・検査・調査,false,0.881,
川島町,川島町 （政策推進課） 政策推進課,作業環境中のダイオキシン類調査業務委託託,指名競争入札,2025-06-03,2025,800000,800000,640000,640000,株式会社静環検査センター 埼玉営業所,5,測定・検査・調査,false,0.8,0.8
川島町,川島町 （政策推進課） 政策推進課,令和7年度河川水質調査業務委託,指名競争入札,2025-06-03,2025,860000,860000,688000,836000,株式会社環境総合研究所 本店,5,河川・砂防,false,0.972,0.8
川島町,川島町 （政策推進課） 政策推進課,令和7年度内水浸水想定区域図作成業務委託,一般競争入札（ダイレクト入札）,2025-06-03,2025,40003000,40003000,31870000,31874000,株式会社東洋コンサルタント 埼玉支店,10,河川・砂防,false,0.797,0.797
川島町,川島町 （政策推進課） 政策推進課,吹塚浄水場機械設備棟詳細設計業務委託,指名競争入札,2025-04-30,2025,9060000,9060000,7090000,8800000,新日本設計株式会社 関東事務所,5,上水道,false,0.971,0.783
川島町,川島町 （政策推進課） 政策推進課,配水管布設替等工事設計業務委託,指名競争入札,2025-04-30,2025,9010000,9010000,7178000,8600000,新日本設計株式会社 関東事務所,5,上水道,false,0.954,0.797
川島町,川島町 （政策推進課） 政策推進課,川島町環境センター（ごみ処理施設）ダイオキシン類及びばい煙等環境調査業務委託,指名競争入札,2025-04-22,2025,4620000,4620000,3696000,4390000,株式会社環境総合研究所 本店,5,廃棄物,false,0.95,0.8
川島町,川島町 （政策推進課） 政策推進課,令和6年度排水整備検討業務委託,指名競争入札,2024-10-30,2024,3516000,3516000,2798000,3300000,吉田測量設計株式会社 本店,5,下水道,false,0.939,0.796
