取得日時,入札方式,調達案件名称,案件番号,開札日,年度,設計額,予定価格,調査基準価格,課所名,発注部局,落札業者名,落札金額,参加業者数,分野分類,発注方式,不調,落札率,調査価格率
2026/05/20 14:46:57,一般競争入札（ダイレクト入札）,５２６４街路整備工事（騒音対策等検討業務委託）,25000097939,2025-09-02,2025,11449000,11449000,9198000,埼玉県 県土整備部 越谷県土整備事務所,県土整備部,東洋技研コンサルタント株式会社 埼玉営業所,9198000,5,道路,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:46:59,指名競争入札,舗装道整備工事（ＦＷＤ調査業務委託その３）,25100154671,2025-09-02,2025,4719000,4719000,3727000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社パスコ さいたま支店,3727000,14,道路,指名競争入札,false,0.79,0.79
2026/05/20 14:47:01,指名競争入札,舗装道整備工事（ＦＷＤ調査業務委託その２）,25100154670,2025-09-02,2025,4810000,4810000,3800000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,ニチレキ株式会社 埼玉営業所,3800000,14,道路,指名競争入札,false,0.79,0.79
2026/05/20 14:47:04,指名競争入札,自歩道整備工事（測量設計業務委託（中野上工区））,25000100109,2025-09-02,2025,3440000,3440000,2661000,埼玉県 県土整備部 秩父県土整備事務所,県土整備部,高橋測量設計株式会社 本店,3130000,10,道路,指名競争入札,false,0.91,0.774
2026/05/20 14:47:06,一般競争入札（ダイレクト入札）,０２５水整第１６０号吉見ドッキング線実施設計業務委託,25100154159,2025-09-02,2025,97010000,97010000,77860000,埼玉県 総務部 入札課,その他部局,株式会社日本インシーク 埼玉支店,77860000,2,その他,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:08,指名競争入札,旧９号１０号埋立予定地仮設設計等業務委託,25000115335,2025-09-02,2025,8879000,8879000,7133000,埼玉県 環境部 環境整備センター,その他部局,サンコーコンサルタント株式会社 北関東支店,8380000,12,その他,指名競争入札,false,0.944,0.803
2026/05/20 14:47:10,一般競争入札（ダイレクト入札）,総委重）河川改修工事（荒川大渕工区樋管詳細設計業務委託）,25100154259,2025-09-01,2025,26339000,26339000,21155000,埼玉県 総務部 入札課,その他部局,株式会社ニュージェック 埼玉事務所,21155000,8,河川・砂防,総合評価,false,0.803,0.803
2026/05/20 14:47:12,指名競争入札,７幸権２設第１号水管理制御設備実施設計業務委託,25000115071,2025-09-01,2025,8670000,8670000,6961000,埼玉県 農林部 春日部農林振興センター,農林部,株式会社日本精測コンサルタント 本店,8380000,12,農業土木,指名競争入札,false,0.967,0.803
2026/05/20 14:47:14,一般競争入札（ダイレクト入札）,５３１９橋修（県単）（朝霞大橋補修設計）,25000100553,2025-08-29,2025,13715000,13715000,11016000,埼玉県 県土整備部 朝霞県土整備事務所,県土整備部,東洋技研コンサルタント株式会社 埼玉営業所,11016000,62,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:17,一般競争入札（ダイレクト入札）,５３２１橋修（県単）（新盛橋耐震設計）,25000099715,2025-08-29,2025,15880000,15880000,12753000,埼玉県 県土整備部 朝霞県土整備事務所,県土整備部,株式会社ニュージェック 埼玉事務所,12753000,51,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:22,一般競争入札（ダイレクト入札）,５７６０排水機場等維持修繕工事（笹目川排水機場耐水化詳細設計業務委託）,25000097066,2025-08-29,2025,16114000,16114000,12945000,埼玉県 県土整備部 さいたま県土整備事務所,県土整備部,株式会社日本水工コンサルタント 関東支店,12945000,8,農業土木,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:25,一般競争入札（ダイレクト入札）,橋りょう修繕工事（仲洲嶋橋耐震補強設計業務委託）,25100154529,2025-08-29,2025,11614000,11614000,9329000,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,株式会社日本構造橋梁研究所 埼玉営業所,9329000,48,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:27,一般競争入札（ダイレクト入札）,５６２２道路構造物維持工事（橋梁点検業務委託）,25100154558,2025-08-29,2025,13012000,13012000,10506000,埼玉県 県土整備部 さいたま県土整備事務所,県土整備部,株式会社キミコン 埼玉営業所,10506000,57,橋梁,一般競争入札（ダイレクト入札）,false,0.807,0.807
2026/05/20 14:47:29,一般競争入札（ダイレクト入札）,５３２０橋修（県単）（笹橋耐震設計）,25000099704,2025-08-29,2025,17283000,17283000,13880000,埼玉県 県土整備部 朝霞県土整備事務所,県土整備部,首都高技術株式会社 埼玉営業所,13880000,51,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:31,一般競争入札（ダイレクト入札）,橋りょう修繕工事（昭和橋耐震補強設計業務委託）,25000096313,2025-08-29,2025,17871000,17871000,14351000,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,株式会社日建技術コンサルタント 埼玉事務所,14351000,49,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:33,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その４）３３４,25000096905,2025-08-28,2025,15960000,15960000,12959000,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,株式会社八州 北関東支社,12959000,43,橋梁,一般競争入札（ダイレクト入札）,false,0.812,0.812
2026/05/20 14:47:36,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その３）３３３,25000096868,2025-08-28,2025,16119000,16119000,13030000,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,アジア航測株式会社 埼玉支店,13030000,45,橋梁,一般競争入札（ダイレクト入札）,false,0.808,0.808
2026/05/20 14:47:38,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その２）３３２,25000096975,2025-08-28,2025,17086000,17086000,13753000,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,株式会社福山コンサルタント 埼玉営業所,13753000,45,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:47:40,指名競争入札,道路冠水対策検討業務委託（Ｒ７－１）,25100154524,2025-08-28,2025,3737000,3737000,2913000,埼玉県 都市整備部 八潮新都市建設事務所,都市整備部,株式会社東都コンサルタント 本店,2913000,11,道路,指名競争入札,false,0.78,0.78
2026/05/20 14:47:42,指名競争入札,交差点整備工事（交通量調査業務委託）,25100154540,2025-08-28,2025,2901000,2901000,2225000,埼玉県 県土整備部 北本県土整備事務所,県土整備部,株式会社新日本エグザ 本店,2700000,10,道路,指名競争入札,false,0.931,0.767
2026/05/20 14:47:48,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その１）３３１,25000096943,2025-08-28,2025,17252000,17252000,13877000,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,中央開発株式会社 関東支店,13877000,44,橋梁,一般競争入札（ダイレクト入札）,false,0.804,0.804
2026/05/20 14:47:50,一般競争入札（ダイレクト入札）,社資（改築）工事（軟弱地盤技術解析業務委託その２）,25000092199,2025-08-28,2025,13850000,13850000,11120000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,株式会社オオバ 北関東支店,11120000,34,地質・地盤,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:47:52,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その５）,25100154445,2025-08-28,2025,14079000,14079000,11338000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,株式会社千代田コンサルタント 埼玉営業所,11338000,50,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:47:54,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その４）,25100154444,2025-08-28,2025,14098000,14098000,11347000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,開発虎ノ門コンサルタント株式会社 埼玉事務所,11347000,48,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:47:57,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その３）,25100154443,2025-08-28,2025,14822000,14822000,11929000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,株式会社キミコン 埼玉営業所,11929000,49,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:47:59,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その２）,25100154442,2025-08-28,2025,15557000,15557000,12520000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,株式会社なドマン技術研究所 本店,12520000,48,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:48:01,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁点検業務委託その１）,25100154440,2025-08-28,2025,16777000,16777000,13502000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,東日設計コンサルタント株式会社 北関東支店,13502000,49,橋梁,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:48:03,簡易公募型／公募型プロポーザル方式,０２５水整第１０５号川口幹線（Ⅰ期）送水管更新実施設計業務委託,25100153964,2025-08-27,2025,55800000,55800000,,埼玉県 企業局 水道整備事務所,企業局,,,1,上水道,簡易公募型／公募型プロポーザル方式,true,,
2026/05/20 14:48:05,指名競争入札,県民健康福祉村駐車場設計業務委託,25000098569,2025-08-26,2025,6997000,6997000,5573000,埼玉県 都市整備部 大宮公園事務所,都市整備部,第一測量設計株式会社 本店,6400000,11,その他,指名競争入札,false,0.915,0.796
2026/05/20 14:48:09,一般競争入札（ダイレクト入札）,総委重）道路構造物維持工事（橋りょう点検業務委託その１）,25100154499,2025-08-26,2025,17958000,17958000,14453000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社日本インシーク 埼玉支店,14453000,19,橋梁,総合評価,false,0.805,0.805
